types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatMusicPromoters,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Advertiser109773962,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Promoter110482220,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Publicist110490699,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Musica_Viva_Australia,Musica Viva Australia,100,139,1.0,0.0,6,4,== Early life == | === Australian connection ===
