types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Comic_book,comic strip,12442,97,0.5882434680931505,0.699920590802185,0,12,== Career == | ==== American Elf ====
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Comic_book,comic strip,12442,97,0.5882434680931505,0.699920590802185,0,12,== Career == | ==== American Elf ====
http://dbpedia.org/ontology/PeriodicalLiterature,http://dbpedia.org/resource/Comic_book,comic strip,12442,97,0.5882434680931505,0.699920590802185,0,12,== Career == | ==== American Elf ====
