types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Accompaniment,accompagnement au piano,947,61,1.0,0.0,5,8,== Biography == | === Professional life ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Accompaniment,accompagnement au piano,947,61,1.0,0.0,5,8,== Biography == | === Professional life ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Accompaniment,accompagnement au piano,947,61,1.0,0.0,5,8,== Biography == | === Professional life ===
