types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatGuitars,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatDances,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Dance107020538,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Guitar103467517,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/StringedInstrument104338517,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Duckwalk,duck walk,17,83,0.9999999999964188,0.0,0,5,== Career == | === Music career ===
