types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.wikidata.org/entity/Q36180,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatArmenianFilmDirectors,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://schema.org/Person,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatPeople'sArtistsOfArmenia,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatPeople'sArtistsOfTheUSSR,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/FilmDirector110088200,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/FilmMaker110088390,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Producer110480018,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/ontology/Writer,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatPeopleFromTelavi,http://dbpedia.org/resource/Henrik_Malyan,Henrik Malyan,18,121,1.0,0.0,4,12,== Career == | === Film ===
