types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatIrishSinglesChartNumber-oneSingles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatVee-JayRecordsSingles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1963Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1964Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1968Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1975Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1990Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Wikicat1991Singles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatEuropeanHot100SinglesNumber-oneSingles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInAustria,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInNorway,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatUKSinglesChartNumber-oneSingles,http://dbpedia.org/resource/The_Shoop_Shoop_Song_(It's_in_His_Kiss),The Shoop Shoop Song,14,29,1.0,0.0,5,3,== Biography == | === Early career ===
