types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/MedicalPractitioner110305802,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Anatomist109792237,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Doctor110020890,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/HealthProfessional110165109,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanAnatomists,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Wikicat19th-centuryPhysicians,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatAnatomists,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Friedrich_Christian_Rosenthal,Friedrich Christian Rosenthal,5,230,1.0,0.0,28,9,== Life == | === Education ===
