types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/ontology/Plant,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://umbel.org/umbel/rc/FloweringPlant,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://umbel.org/umbel/rc/Plant,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatMonotypicPlantGenera,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/WikicatRanunculaceaeGenera,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/BiologicalGroup107941170,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Genus105845013,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Genus108108972,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/PlantGenus111744859,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://dbpedia.org/class/yago/TaxonomicGroup107992450,http://dbpedia.org/resource/Goldenseal,Goldenseal,63,256,0.9999995788286106,4.2117155950865604e-07,0,4,== Biography == | === Early career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatCompaniesBasedInNewYorkCity,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1983,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Loho_Studios,Loho Studios,5,20,1.0,0.0,3,6,== Biography == | === Solo career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatAmericanIndependentRecordLabels,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Gigantic_Music,Gigantic,37,17,0.9999997437946933,1.3730170704834794e-07,1,11,== Biography == | === Solo career ===
