types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/WikicatComicStripsStartedInThe2000s,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Wit106776138,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Cartoon106780678,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/ComicStrip107003352,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Badmash.org,Badmash,14,9,0.9999997626092564,0.0,0,14,== Filmography == | === Punjabi ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/WikicatPunjabi-languageFilms,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Wikicat1990sRomanticComedyFilms,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/Wikicat1998Films,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/WikicatFilmsDirectedBySyedNoor,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
http://dbpedia.org/class/yago/WikicatPakistaniFilms,http://dbpedia.org/resource/Choorian_(1998_film),Choorian,22,0,0.9498383470030136,0.0,0,24,== Filmography == | === Punjabi ===
