types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Mammal101861778,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Chordate101466257,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Even-toedUngulate102394477,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Giraffe102439033,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/WikicatGiraffes,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/WikicatMammalsOfEthiopia,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/WikicatMammalsOfKenya,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/WikicatMammalsOfSomalia,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Ruminant102399000,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Ungulate102370806,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Vertebrate101471682,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/Placental101886756,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
http://dbpedia.org/class/yago/WikicatEven-toedUngulates,http://dbpedia.org/resource/Reticulated_giraffe,giraffe,135,10,0.9759236239130716,0.0244759981530387,3,16,== Career == | === 2015–present ===
