types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/WikicatJamaicanReggaeMusicalGroups,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/The_Versatiles,The Versatiles,5,0,0.9999930020797196,0.0,1,2,== Biography == | === The Versatiles ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/WikicatAustralianMaleActors,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/WikicatAustralianMaleFilmActors,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/WikicatAustralianMaleTelevisionActors,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Rupert_Reid,Rupert Reid,17,73,1.0,0.0,9,5,== Biography == | === Solo peak ===
