types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/WikicatWomenInNaziGermany,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/WikicatWomenInWar,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Defender109614684,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Guard110150071,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Preserver110466918,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/WikicatFemaleGuardsAtNaziConcentrationCamps,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
http://dbpedia.org/class/yago/WikicatPeopleConvictedByTheUnitedStatesNurembergMilitaryTribunals,http://dbpedia.org/resource/Female_guards_in_Nazi_concentration_camps,SS-Oberaufseherin,160,77,1.0,0.0,2,10,== Early years == | === Auschwitz ===
