types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/ontology/Magazine,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/WikicatWorksAboutAdolescence,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/WikicatMagazines,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/EndProduct103287178,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Magazine106595351,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Oeuvre103841417,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
http://dbpedia.org/class/yago/WikicatTeens'Magazines,http://dbpedia.org/resource/Teen_magazine,teenage magazine,84,127,1.0,0.0,0,17,== Discography (with Crass) == | === Singles ===
