types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPercussionInstruments,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/ElectronicInstrument103279153,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatElectronicMusicalInstruments,http://dbpedia.org/resource/Pollard_Syndrum,Syn-Drums,45,352,1.0,0.0,14,3,== Career == | === 1970s ===
