types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJapaneseClans,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/class/yago/Kin107969695,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Nagao_clan,Nagao,48,5,0.999999999997101,2.0582321623234517e-12,0,5,== Members == | === Former members ===
http://dbpedia.org/class/yago/WikicatJapaneseGames,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/WikicatJapaneseWordGames,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/ontology/VideoGame,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/WikicatWordGames,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/WordGame100501870,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/WikicatLanguageGames,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Game100455599,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/ParlorGame100501722,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Shiritori,Shiritori,16,7,0.9999999753887042,0.0,0,7,== Members == | === Former members ===
