types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/LiteraryCritic110266016,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Critic109979589,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatBritishJournalists,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatBritishLiteraryCritics,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatAnglo-WelshPoets,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatWelshJournalists,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatWelshLiteraryCritics,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatWelshPoets,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Keidrych_Rhys,Keidrych Rhys,25,31,1.0,0.0,20,41,== Poetry == | === Welsh poet ===
