types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/WikicatRugbyUnionPositions,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/Position108621598,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
http://dbpedia.org/class/yago/WikicatFootballPositions,http://dbpedia.org/resource/Rugby_union_positions,full-back,12606,74,0.8681425881178497,0.1422197262989578,11,17,== Club career == | === Wolverhampton Wanderers ===
