types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/WikicatRadialEngines,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/AircraftEngine102687423,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Engine103287733,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/HeatEngine103507963,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Internal-combustionEngine103579982,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Motor103789946,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/RadialEngine104040373,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Warner_Scarab,Scarab,116,232,0.5850384839359605,0.606676219933602,6,10,== Career == | === Voice roles ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Broadcast106619428,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/TelevisionProgram106620579,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
http://dbpedia.org/class/yago/WikicatSuperheroTelevisionPrograms,http://dbpedia.org/resource/Web_Woman,Web Woman,16,267,1.0,0.0,6,10,== Career == | === Voice roles ===
