types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/WikicatAccountingSystems,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Accounting113405962,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Document113403331,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Euphemism106605046,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Practice100410247,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Record113403643,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Register113412321,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/WikicatEthicallyDisputedBusinessPractices,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
http://dbpedia.org/class/yago/WikicatEuphemisms,http://dbpedia.org/resource/Creative_accounting,creative accounting,77,102,1.0,0.0,0,6,== Biography == | === Riverside Records ===
