types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/WikicatBalletsByAlexeiRatmansky,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/WikicatBalletsByDmitriShostakovich,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/WikicatBalletsByFedorLopukhov,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Ballet100528667,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Dancing100428270,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/HumanisticDiscipline106153846,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/PerformingArts106157326,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Premiere106893285,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/StageDancing100528397,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Suite107047011,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/Wikicat1935BalletPremieres,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
http://dbpedia.org/class/yago/WikicatSuitesByDmitriShostakovich,http://dbpedia.org/resource/The_Limpid_Stream,The Bright Stream,38,193,1.0,0.0,3,5,== Career == | === Bolshoi Theatre ===
