types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Signature107029088,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Tune107028373,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatSongsFromFilms,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatTelevisionThemeSongs,http://dbpedia.org/resource/Theme_from_Star_Trek,Theme From Star Trek,36,1,1.0,0.0,0,111,== Discography == | === Singles ===
