types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatHousePainters,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/HousePainter110189179,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Painter110393909,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatPeopleFromDublin(city),http://dbpedia.org/resource/Stephen_Behan,Stephen Behan,13,12,1.0,0.0,1,3,== Biography == | === Early life ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatHousePainters,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatIrishComposers,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatIrishSongwriters,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatNationalAnthemWriters,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/HousePainter110189179,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Painter110393909,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Peadar_Kearney,Peadar Kearney,45,24,1.0,0.0,4,3,== Biography == | === Early life ===
