types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatCountriesInSouthAmerica,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatCountriesInTheCaribbean,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatDividedRegions,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://umbel.org/umbel/rc/Location_Underspecified,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://umbel.org/umbel/rc/PopulatedPlace,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatRegionsOfFrance,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/Country108544813,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/Region108630039,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatFrench-speakingCountriesAndTerritories,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatOutermostRegionsOfTheEuropeanUnion,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
http://dbpedia.org/class/yago/WikicatStatesAndTerritoriesEstablishedIn1946,http://dbpedia.org/resource/French_Guiana,French Guyanese,6345,4,1.0,0.0,1,22,== Albums by Angélique Kidjo == | ==== Oyaya! ====
