types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInEurope,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInGermany,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInPortugal,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInTheUnitedStates,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatPunkRockFestivals,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatElectronicMusicFestivals,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
http://dbpedia.org/class/yago/WikicatGothFestivals,http://dbpedia.org/resource/Drop_Dead_Festival,Drop Dead Festival,14,68,1.0,0.0,2,15,== Life and career == | === 2005–present ===
