types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatBalletsByMichelFokine,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatBalletsDesignedByKonstantinKorovin,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatBalletsRussesProductions,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/WikicatRussian-languageOperas,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Ballet100528667,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/The_Golden_Cockerel,Le Coq d'Or,157,131,1.0,0.0,1,10,== Career == | === Ballets Russes ===
