types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/WikicatReligiousLeadershipRoles,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Duty100719494,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Function100720565,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/LegalSystem105903229,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/Plan105898568,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/PlanOfAction105902545,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/System105902872,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/VotingSystem105904135,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
http://dbpedia.org/class/yago/WikicatElectoralSystems,http://dbpedia.org/resource/Sede_vacante,Sede Vacante,422,87,1.0,0.0,4,142,== Interests == | === Social networking ===
