types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://umbel.org/umbel/rc/Event,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://umbel.org/umbel/rc/Festival,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInTheUnitedStates,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/WikicatFestivalsInNewJersey,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/WikicatRockFestivalsInTheUnitedStates,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn2008,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/All_Points_West_Music_&_Arts_Festival,All Points West Festival,31,28,0.9999999999999432,0.0,0,39,== Tours & live sessions == | === Live sessions ===
