types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://umbel.org/umbel/rc/Language,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfBulgaria,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfGreece,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfMoldova,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfRomania,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfSerbia,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfTheRepublicOfMacedonia,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfTurkey,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfUkraine,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatSlavicLanguages,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatSouthSlavicLanguages,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatSubject–verb–objectLanguages,http://dbpedia.org/resource/Bulgarian_language,bulg.,9742,44,1.0,0.0,5,8,== Career == | === Solo career ===
