types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/WikicatPoliticalPartiesEstablishedIn1891,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/WikicatDefunctPoliticalPartiesInGermany,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/Party108256968,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1891,http://dbpedia.org/resource/Pan-German_League,Pan-German League,105,67,1.0,0.0,5,10,== Career and later life == | === Early work ===
