types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Librettist110258152,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatItalianExpatriatesInAustria,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatPeopleFromLivorno,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatItalianOperaLibrettists,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatItalianPoets,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatLibrettists,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatBalletLibrettists,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ranieri_de'_Calzabigi,Calzabigi,35,10,1.0,0.0,0,28,== Life and career == | === Operatic reforms ===
