types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAppleIIPeripherals,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/WikicatComputerStorageDevices,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/DiskDrive103209666,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Drive103243218,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/MemoryDevice103744840,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
http://dbpedia.org/class/yago/WikicatFloppyDiskDrives,http://dbpedia.org/resource/Disk_II,Disk II,70,0,0.9999999992498942,0.0,0,13,== Discography == | === Compilation albums ===
