types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatPeopleFromOerlinghausen,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatPeopleFromThePrincipalityOfLippe,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatWomenSociologists,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/WikicatLegalHistorians,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Disputant109615465,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Feminist110084635,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marianne_Weber,Marianne,33,42,1.0,6.165451230920518e-19,0,7,== Personal life == | === Marriage ===
