types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatBillboardHotLatinSongsNumber-oneSingles,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatBillboardTropicalSongsNumber-oneSingles,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Wikicat2011Singles,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInFrance,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInRomania,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInSpain,http://dbpedia.org/resource/Rain_Over_Me,Rain Over Me,13,36,1.0,0.0,1,11,== Discography == | === Remixes ===
