types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Light103665366,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/WikicatLightSources,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/SourceOfIllumination104263760,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Flash_(photography),flash photography,806,45,0.9999999578395212,0.0,7,15,== Murder == | === Funeral ===
