types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WikicatDiplomaticConferencesInTheUnitedStates,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WrittenRecord106502378,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WikicatMemoranda,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Conference108308497,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Meeting108307589,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Memo106506191,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Note106504462,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Wikicat20th-centuryDiplomaticConferences,http://dbpedia.org/resource/Wye_River_Memorandum,Wye River Memorandum,67,136,1.0,0.0,0,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
