types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/ontology/Museum,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/WikicatMuseumsEstablishedIn1998,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/WikicatMuseumsInDüsseldorf,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Museum103800563,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/NRW_Forum,NRW Forum,30,40,1.0,0.0,0,24,== Selected works == | === Artistic Collaborations ===
