types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://schema.org/CreativeWork,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://schema.org/MusicRecording,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://www.wikidata.org/entity/Q2188189,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://www.wikidata.org/entity/Q386724,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatAmericanFolkSongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatBillHaleySongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatCarterFamilySongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatCharlieMcCoySongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatWillieNelsonSongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatRoyAcuffSongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatSongsAboutTrains,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/ontology/Song,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatDickCurlessSongs,http://dbpedia.org/resource/Wabash_Cannonball,The Wabash Cannonball,116,67,1.0,0.0,9,4,== Biography == | === Early life ===
