types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/WikicatMind–bodyInterventions,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/WikicatSelfReligions,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/CardinalVirtue104847600,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Engagement101239064,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Good104849241,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Intervention101240210,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Morality104846770,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Quality104723816,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Religion105946687,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/ReligiousMovement108473787,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/TheologicalVirtue104847991,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/Virtue104847482,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
http://dbpedia.org/class/yago/WikicatNewReligiousMovements,http://dbpedia.org/resource/Transcendental_Meditation,Spiritual Regeneration Movement,1251,107,1.0,0.0,2,73,== Personal life == | === Transcendental Meditation ===
