types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAdvertisingSlogans,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Ad107248801,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Commercial107250034,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Motto107152259,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Promotion107247071,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/WikicatTelevisionCommercials,http://dbpedia.org/resource/Bo_Knows,Bo Knows,17,49,1.0,0.0,5,13,== Life and career == | === Later years ===
