types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatPhysiographicProvinces,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatDeserts,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatDesertsAndXericShrublands,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatDesertsOfAsia,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatDesertsOfChina,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatDesertsOfMongolia,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://umbel.org/umbel/rc/Location_Underspecified,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Biome107941945,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Community107941729,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Desert108505573,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/State108654360,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
http://dbpedia.org/class/yago/WikicatPaleontologicalSites,http://dbpedia.org/resource/Gobi_Desert,Gobi Desert,985,29,1.0,0.0,0,6,== Career == | === Early career ===
