types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/WikicatAnimeSongs,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/WikicatSongForms,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Image_song,Image album,309,43,1.0,0.0,0,42,== Discography == | === Featured discography ===
