types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Embezzlement,Embezzlement,1574,194,1.0,0.0,4,21,== Burning Sun scandal == | === Arrest warrants ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Embezzlement,Embezzlement,1574,194,1.0,0.0,4,21,== Burning Sun scandal == | === Arrest warrants ===
http://umbel.org/umbel/rc/Mollusk,http://dbpedia.org/resource/Embezzlement,Embezzlement,1574,194,1.0,0.0,4,21,== Burning Sun scandal == | === Arrest warrants ===
