types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Scientist,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/WikicatJackets,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/WikicatCoats,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Coat103057021,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Garment103419014,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Jacket103589791,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Overgarment103863923,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/White_coat,lab coats,104,72,1.0,0.0,4,34,== Army of Toy Soldiers == | ==== Uniforms ====
