types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/WikicatCableTelevisionCompaniesOfTheUnitedStates,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/WikicatCompaniesDisestablishedIn1981,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1950,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/WikicatDefunctMediaCompaniesOfTheUnitedStates,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/TelePrompTer_Corporation,TelePrompTer Corporation,32,46,1.0,0.0,2,19,== Career == | === Mr. Television ===
