types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/WikicatTotalInstitutions,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Anti-psychiatry,anti-psychiatric,310,27,0.999999999999261,0.0,1,34,== Work == | === Thematic subjects ===
