types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatHeavyMetalFestivals,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatHeavyMetalFestivalsInFinland,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInFinland,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1998,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatRockFestivalsInFinland,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
http://dbpedia.org/class/yago/WikicatFestivalsInHelsinki,http://dbpedia.org/resource/Tuska_Open_Air_Metal_Festival,Tuska Open Air,77,89,1.0,0.0,1,14,== Projects == | === ABBATH ===
