types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/HockeyTeam,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatDefunctIceHockeyTeamsInAlabama,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatWorldHockeyAssociation2Teams,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/HockeyTeam108080386,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Alabama_Slammers,Alabama Slammers,6,42,0.9999999999964472,0.0,0,20,== Discography == | === Guest appearances ===
