types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bass_guitar,electric bass guitar,43162,39,1.0,0.0,9,25,== Other ventures == | === Other work ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Bass_guitar,electric bass guitar,43162,39,1.0,0.0,9,25,== Other ventures == | === Other work ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Bass_guitar,electric bass guitar,43162,39,1.0,0.0,9,25,== Other ventures == | === Other work ===
