types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Choir,choir vocals,10342,238,1.0,0.0,0,12,== Musical career == | === Other works ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Choir,choir vocals,10342,238,1.0,0.0,0,12,== Musical career == | === Other works ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Choir,choir vocals,10342,238,1.0,0.0,0,12,== Musical career == | === Other works ===
