types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/ontology/Bridge,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatBridgeDisastersCausedByConstructionError,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatBridgeDisastersInSouthKorea,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/NewsEvent107400831,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatTransportDisastersIn1994,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatTransportDisastersInSouthKorea,http://dbpedia.org/resource/Seongsu_Bridge,Seongsu Bridge,14,72,1.0,0.0,2,6,== Biography == | === Personal life ===
