types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/HorseRace,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Delivery100317207,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Movement100280586,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Passage100318035,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Relay100318567,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/Transportation100315986,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
http://dbpedia.org/class/yago/WikicatOlympicTorchRelays,http://dbpedia.org/resource/2002_Winter_Olympics_torch_relay,2002 Winter Olympics torch relay,13,26,1.0,0.0,1,20,== Awards and recognitions == | === Recognition ===
