types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanLiteraryAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatAmericanPoetryAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1980,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPoetryAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBiographyAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatLiteraryAwardsByMagazinesAndNewspapers,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatLosAngelesTimes,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Case107308889,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/Time107309599,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatFirstBookAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatNon-fictionLiteraryAwards,http://dbpedia.org/resource/Los_Angeles_Times_Book_Prize,Los Angeles Times Book Award,433,66,1.0,0.0,19,5,== Biography == | === Career ===
