types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatConflictsIn2000,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WikicatDiplomaticConferencesInTheUnitedStates,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WrittenAgreement106771653,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/WikicatMiddleEastPeaceEfforts,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Agreement106770275,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Attempt100786195,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
http://dbpedia.org/class/yago/Conference108308497,http://dbpedia.org/resource/2000_Camp_David_Summit,Camp David,172,106,0.9999971072506132,2.8916254904767338e-06,1,74,== Presidency (1993–2001) == | ==== Israeli-Palestinian conflict ====
