types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Shopping_cart,shopping trolley,179,121,1.0,0.0,3,11,== Career == | === Exhibitions (2002–2003) ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Shopping_cart,shopping trolley,179,121,1.0,0.0,3,11,== Career == | === Exhibitions (2002–2003) ===
http://dbpedia.org/ontology/Restaurant,http://dbpedia.org/resource/Shopping_cart,shopping trolley,179,121,1.0,0.0,3,11,== Career == | === Exhibitions (2002–2003) ===
