types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatPopStandards,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatChildren'sSongs,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatLullabies,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Lullaby107051851,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/Wikicat1860Songs,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatFolkSongs,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatFrenchFolkSongs,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
http://dbpedia.org/class/yago/WikicatFrenchSongs,http://dbpedia.org/resource/Au_clair_de_la_lune,Au Clair De La Lune,49,131,1.0,0.0,10,32,== Career == | === Late career ===
