types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Component105868954,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Part105867413,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatFictionalMaterials,http://dbpedia.org/resource/Vibranium,Vibranium,290,30,0.999999999986386,0.0,0,55,== Discography == | === Guest appearances ===
