types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/CityDistrict108537837,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/WikicatStreetsInKensingtonAndChelsea,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/WikicatStreetsInLondon,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Road104096066,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Street104334599,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Thoroughfare104426618,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Waterfront108633683,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/WikicatWaterfronts,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Chelsea_Embankment,Chelsea Embankment,100,64,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
