types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPeopleFromVersailles,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatPrincessesOfFrance(Bourbon),http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Princess110474064,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFrenchPeopleOfPolishDescent,http://dbpedia.org/resource/Mesdames_de_France,Mesdames,59,10,0.999999974422082,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatBritishBlogs,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Diary106402031,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WebLog106402202,http://dbpedia.org/resource/Red_Rag,red rag,3,22,0.9999801494761208,1.9845371218036515e-05,0,16,== Discography == | === Albums ===
