types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Missouri_Tigers_men's_basketball,Missouri,567,30,0.7255225678189847,0.3770970559539714,0,5,== Career == | === 1936–44 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
http://dbpedia.org/class/yago/WikicatAfrican-AmericanFemaleSingers,http://dbpedia.org/resource/Priscilla_Bowman,Priscilla Bowman,9,81,1.0,0.0,3,8,== Career == | === 1945–2006 ===
