types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatStockCharacters,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Model105937112,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Original105938400,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/Representation105926676,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatJungianArchetypes,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
http://dbpedia.org/ontology/Planet,http://dbpedia.org/resource/Wise_old_man,Sage,195,168,0.9859261560005724,0.0095050649075667,3,8,== Career == | === As actor ===
