types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHospitalsInTheUnitedStates,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatKirkbridePlanHospitals,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPsychiatricHospitalsInTheUnitedStates,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInTheUnitedStates,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Hospital103540595,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/MedicalBuilding103739518,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/MentalHospital103746574,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kirkbride_Plan,Kirkbride,141,41,0.9999850052511052,1.4535044705722132e-05,2,8,== Biography == | === Career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/West_Presbyterian_Church,North Presbyterian Church,13,97,0.999986701100664,1.0499270542454573e-05,12,8,== Biography == | === Career ===
