types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Digital_Compact_Cassette,DCC,49,52,0.9846808462538136,0.0081954025267484,0,91,== Discography == | === Albums ===
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/resource/Volume_of_fluid_method,VOF,24,36,1.0,0.0,0,123,== Discography == | === Tribute albums ===
