types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchitecturalTheoreticians,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/WikicatInterdisciplinaryFields,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Field108569998,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Theorist110706812,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Architectural_theory,architectural theory,147,135,0.9999999999970156,0.0,14,14,== Biography == | === Contimporanul beginnings ===
