types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPlaysByJackDavis,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Coevals108369406,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/People107942152,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/Wikicat1985Plays,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
http://dbpedia.org/class/yago/WikicatStolenGenerations,http://dbpedia.org/resource/No_Sugar,No Sugar,26,37,0.9999999982798328,0.0,3,5,== Music career == | === 2010–present: Breakthrough ===
